,score,line,time_left,point_time,players,quarter
2,3-0,D-Line,08:41,1m46s,"J Allen, Long, Madiraju, Richardson, Sanner, Sisco, Taylor",q1
3,3-1,D-Line,07:30,1m11s,"Bloodworth, Cretella, J Allen, Lynch, Russell, Weaver, Yanuck",q1
4,4-1,O-Line,06:17,1m13s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor",q1
5,5-1,D-Line,05:16,1m1s,"Davis, Long, Madiraju, Richardson, Sanner, Sisco, Weaver",q1
6,5-2,D-Line,04:22,54s,"Bloodworth, Cretella, Long, Madiraju, Richardson, Sanner, Weaver",q1
7,6-2,O-Line,04:00,22s,"Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor, Yanuck",q1
8,6-3,D-Line,02:49,1m11s,"Davis, J Allen, Long, Lynch, Russell, Sisco, Weaver",q1
9,7-3,O-Line,02:20,29s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Taylor, Yanuck",q1
10,7-4,D-Line,00:56,1m24s,"Bloodworth, Cretella, Long, Madiraju, Richardson, Russell, Sanner",q1
11,8-4,O-Line,00:43,13s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Mcknight, Taylor, Yanuck",q1
12,8-5,D-Line,00:09,34s,"Bloodworth, Cretella, Davis, Long, Lynch, Sisco, Weaver",q1
13,8-5,O-Line,00:00,9s,"Fairfax, Fisher, Gouchoe-Hanas, Richardson, Russell, Taylor, Yanuck",q1
0,9-5,O-Line,11:20,40s,"Fairfax, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor, Yanuck",q2
1,9-6,D-Line,09:50,1m30s,"Bloodworth, Davis, J Allen, Lynch, Richardson, Sanner, Weaver",q2
2,10-6,O-Line,08:18,1m32s,"Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor, Yanuck",q2
3,10-7,D-Line,07:15,1m3s,"Bloodworth, Cretella, Long, Madiraju, Richardson, Sanner, Weaver",q2
4,11-7,O-Line,06:29,46s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Yanuck",q2
5,11-8,D-Line,06:07,22s,"Davis, J Allen, Long, Lynch, Richardson, Russell, Sisco",q2
6,12-8,O-Line,05:11,56s,"Fairfax, Fisher, Juengst, Laviolette, Mcknight, Taylor, Yanuck",q2
7,12-9,D-Line,04:52,19s,"Bloodworth, Cretella, Madiraju, Russell, Sanner, Sisco, Weaver",q2
8,13-9,O-Line,04:23,29s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Taylor, Yanuck",q2
9,13-10,D-Line,03:24,59s,"Davis, J Allen, Long, Lynch, Richardson, Russell, Yanuck",q2
10,14-10,O-Line,02:47,37s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor",q2
11,14-11,D-Line,01:40,1m7s,"Bloodworth, Cretella, Madiraju, Richardson, Sanner, Sisco, Weaver",q2
12,15-11,O-Line,01:11,29s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Mcknight, Taylor, Yanuck",q2
13,15-12,D-Line,00:25,46s,"Bloodworth, J Allen, Long, Madiraju, Richardson, Sanner, Weaver",q2
14,16-12,O-Line,00:12,13s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Taylor, Yanuck",q2
15,16-13,D-Line,00:00,12s,"Fairfax, Fisher, Laviolette, Richardson, Russell, Taylor, Yanuck",q2
0,16-14,D-Line,10:20,1m40s,"Cretella, Davis, Long, Lynch, Russell, Sisco, Weaver",q3
1,16-15,O-Line,08:03,2m17s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Taylor, Yanuck",q3
2,16-16,O-Line,07:01,1m2s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Yanuck",q3
3,17-16,O-Line,06:13,48s,"Cretella, J Allen, Long, Russell, Sanner, Sisco, Weaver",q3
4,17-17,D-Line,05:28,45s,"Bloodworth, Cretella, J Allen, Long, Madiraju, Richardson, Sanner",q3
5,18-17,O-Line,05:12,16s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor",q3
6,18-18,D-Line,03:53,1m19s,"Bloodworth, Cretella, Lynch, Russell, Sanner, Sisco, Weaver",q3
7,19-18,O-Line,03:23,30s,"Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor, Yanuck",q3
8,20-18,D-Line,01:39,1m44s,"Bloodworth, Davis, Long, Lynch, Richardson, Russell, Weaver",q3
9,20-19,D-Line,00:20,1m19s,"Bloodworth, Cretella, J Allen, Richardson, Sisco, Taylor, Weaver",q3
10,20-20,O-Line,00:00,20s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor",q3
0,21-20,O-Line,11:19,41s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Mcknight, Taylor, Yanuck",q4
1,22-20,D-Line,09:34,1m45s,"Cretella, Long, Lynch, Madiraju, Richardson, Russell, Sanner",q4
2,22-21,D-Line,07:58,1m36s,"Bloodworth, Cretella, J Allen, Richardson, Taylor, Weaver, Yanuck",q4
3,23-21,O-Line,07:22,36s,"Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor, Yanuck",q4
4,23-22,D-Line,06:22,1m0s,"Cretella, Davis, Long, Lynch, Russell, Sanner, Sisco",q4
5,24-22,O-Line,05:28,54s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Mcknight, Taylor, Yanuck",q4
6,24-23,D-Line,04:41,47s,"Bloodworth, Cretella, J Allen, Madiraju, Richardson, Sanner, Weaver",q4
7,25-23,O-Line,04:02,39s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Mcknight, Taylor, Yanuck",q4
8,26-23,D-Line,03:11,51s,"Bloodworth, Cretella, Long, Lynch, Russell, Sisco, Weaver",q4
9,26-24,D-Line,00:56,2m15s,"Bloodworth, Cretella, J Allen, Long, Lynch, Sisco, Weaver",q4
10,27-24,O-Line,00:14,42s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Taylor, Yanuck",q4
11,27-24,D-Line,00:00,14s,"Cretella, Madiraju, Richardson, Russell, Sanner, Sisco, Weaver",q4
0,1-0,D-Line,11:06,54s,"Bloodworth, Cretella, Davis, Long, Lynch, Russell, Weaver",q1
1,2-0,D-Line,10:27,39s,"Bloodworth, Cretella, Davis, Long, Lynch, Russell, Weaver",q1
2,3-0,D-Line,08:41,1m46s,"J Allen, Long, Madiraju, Richardson, Sanner, Sisco, Taylor",q1
3,3-1,D-Line,07:30,1m11s,"Bloodworth, Cretella, J Allen, Lynch, Russell, Weaver, Yanuck",q1
4,4-1,O-Line,06:17,1m13s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor",q1
5,5-1,D-Line,05:16,1m1s,"Davis, Long, Madiraju, Richardson, Sanner, Sisco, Weaver",q1
6,5-2,D-Line,04:22,54s,"Bloodworth, Cretella, Long, Madiraju, Richardson, Sanner, Weaver",q1
7,6-2,O-Line,04:00,22s,"Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor, Yanuck",q1
8,6-3,D-Line,02:49,1m11s,"Davis, J Allen, Long, Lynch, Russell, Sisco, Weaver",q1
9,7-3,O-Line,02:20,29s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Taylor, Yanuck",q1
10,7-4,D-Line,00:56,1m24s,"Bloodworth, Cretella, Long, Madiraju, Richardson, Russell, Sanner",q1
11,8-4,O-Line,00:43,13s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Mcknight, Taylor, Yanuck",q1
12,8-5,D-Line,00:09,34s,"Bloodworth, Cretella, Davis, Long, Lynch, Sisco, Weaver",q1
13,8-5,O-Line,00:00,9s,"Fairfax, Fisher, Gouchoe-Hanas, Richardson, Russell, Taylor, Yanuck",q1
0,9-5,O-Line,11:20,40s,"Fairfax, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor, Yanuck",q2
1,9-6,D-Line,09:50,1m30s,"Bloodworth, Davis, J Allen, Lynch, Richardson, Sanner, Weaver",q2
2,10-6,O-Line,08:18,1m32s,"Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor, Yanuck",q2
3,10-7,D-Line,07:15,1m3s,"Bloodworth, Cretella, Long, Madiraju, Richardson, Sanner, Weaver",q2
4,11-7,O-Line,06:29,46s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Yanuck",q2
5,11-8,D-Line,06:07,22s,"Davis, J Allen, Long, Lynch, Richardson, Russell, Sisco",q2
6,12-8,O-Line,05:11,56s,"Fairfax, Fisher, Juengst, Laviolette, Mcknight, Taylor, Yanuck",q2
7,12-9,D-Line,04:52,19s,"Bloodworth, Cretella, Madiraju, Russell, Sanner, Sisco, Weaver",q2
8,13-9,O-Line,04:23,29s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Taylor, Yanuck",q2
9,13-10,D-Line,03:24,59s,"Davis, J Allen, Long, Lynch, Richardson, Russell, Yanuck",q2
10,14-10,O-Line,02:47,37s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor",q2
11,14-11,D-Line,01:40,1m7s,"Bloodworth, Cretella, Madiraju, Richardson, Sanner, Sisco, Weaver",q2
12,15-11,O-Line,01:11,29s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Mcknight, Taylor, Yanuck",q2
13,15-12,D-Line,00:25,46s,"Bloodworth, J Allen, Long, Madiraju, Richardson, Sanner, Weaver",q2
14,16-12,O-Line,00:12,13s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Taylor, Yanuck",q2
15,16-13,D-Line,00:00,12s,"Fairfax, Fisher, Laviolette, Richardson, Russell, Taylor, Yanuck",q2
0,16-14,D-Line,10:20,1m40s,"Cretella, Davis, Long, Lynch, Russell, Sisco, Weaver",q3
1,16-15,O-Line,08:03,2m17s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Taylor, Yanuck",q3
2,16-16,O-Line,07:01,1m2s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Yanuck",q3
3,17-16,O-Line,06:13,48s,"Cretella, J Allen, Long, Russell, Sanner, Sisco, Weaver",q3
4,17-17,D-Line,05:28,45s,"Bloodworth, Cretella, J Allen, Long, Madiraju, Richardson, Sanner",q3
5,18-17,O-Line,05:12,16s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor",q3
6,18-18,D-Line,03:53,1m19s,"Bloodworth, Cretella, Lynch, Russell, Sanner, Sisco, Weaver",q3
7,19-18,O-Line,03:23,30s,"Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor, Yanuck",q3
8,20-18,D-Line,01:39,1m44s,"Bloodworth, Davis, Long, Lynch, Richardson, Russell, Weaver",q3
9,20-19,D-Line,00:20,1m19s,"Bloodworth, Cretella, J Allen, Richardson, Sisco, Taylor, Weaver",q3
10,20-20,O-Line,00:00,20s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor",q3
0,21-20,O-Line,11:19,41s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Mcknight, Taylor, Yanuck",q4
1,22-20,D-Line,09:34,1m45s,"Cretella, Long, Lynch, Madiraju, Richardson, Russell, Sanner",q4
2,22-21,D-Line,07:58,1m36s,"Bloodworth, Cretella, J Allen, Richardson, Taylor, Weaver, Yanuck",q4
3,23-21,O-Line,07:22,36s,"Fisher, Gouchoe-Hanas, Juengst, Laviolette, Mcknight, Taylor, Yanuck",q4
4,23-22,D-Line,06:22,1m0s,"Cretella, Davis, Long, Lynch, Russell, Sanner, Sisco",q4
5,24-22,O-Line,05:28,54s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Mcknight, Taylor, Yanuck",q4
6,24-23,D-Line,04:41,47s,"Bloodworth, Cretella, J Allen, Madiraju, Richardson, Sanner, Weaver",q4
7,25-23,O-Line,04:02,39s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Mcknight, Taylor, Yanuck",q4
8,26-23,D-Line,03:11,51s,"Bloodworth, Cretella, Long, Lynch, Russell, Sisco, Weaver",q4
9,26-24,D-Line,00:56,2m15s,"Bloodworth, Cretella, J Allen, Long, Lynch, Sisco, Weaver",q4
10,27-24,O-Line,00:14,42s,"Fairfax, Fisher, Gouchoe-Hanas, Juengst, Laviolette, Taylor, Yanuck",q4
11,27-24,D-Line,00:00,14s,"Cretella, Madiraju, Richardson, Russell, Sanner, Sisco, Weaver",q4
0,1-0,O-Line,11:06,54s,"Corbett, Dunn, Givol, Helton, J Cohen, Lally, Okita",q1
1,1-1,D-Line,10:05,1m1s,"El-Salaam, Hume, Leggio, Milardovich, Radlauer, Tran, Turner",q1
2,1-2,O-Line,07:23,2m42s,"Corbett, Dunn, Givol, Helton, J Cohen, Lally, Okita",q1
3,2-2,O-Line,06:29,54s,"El-Salaam, Leggio, Milardovich, Queckboerner , Rubin, Tran, Turner",q1
4,3-2,D-Line,05:11,1m18s,"Corbett, Hume, Lozinski, Queckboerner , Schakner, Silverman, Sung",q1
5,3-3,D-Line,04:06,1m5s,"El-Salaam, Leggio, Milardovich, Radlauer, Rubin, Tran, Turner",q1
6,4-3,O-Line,03:02,1m4s,"Corbett, Dunn, Givol, Helton, J Cohen, Lally, Okita",q1
7,4-4,D-Line,01:33,1m29s,"El-Salaam, Hume, Queckboerner , Schakner, Silverman, Sung, Turner",q1
8,5-4,O-Line,00:54,39s,"Dunn, Givol, Helton, J Cohen, Lally, Okita, Rubin",q1
9,5-5,D-Line,00:14,40s,"El-Salaam, Leggio, Milardovich, Queckboerner , Radlauer, Tran, Turner",q1
10,6-5,O-Line,00:00,14s,"Corbett, Dunn, Givol, Helton, J Cohen, Okita, Rubin",q1
0,6-6,D-Line,10:46,1m14s,"El-Salaam, Hume, Milardovich, Schakner, Silverman, Sung, Turner",q2
1,7-6,O-Line,10:26,20s,"Corbett, Dunn, Givol, Helton, J Cohen, Okita, Rubin",q2
2,7-7,D-Line,09:12,1m14s,"El-Salaam, Leggio, Lozinski, Queckboerner , Radlauer, Tran, Turner",q2
3,8-7,O-Line,08:50,22s,"Dunn, Givol, Helton, J Cohen, Lally, Okita, Rubin",q2
4,8-8,D-Line,08:21,29s,"El-Salaam, Hume, Leggio, Milardovich, Queckboerner , Schakner, Sung",q2
5,9-8,O-Line,07:43,38s,"Dunn, Givol, Helton, J Cohen, Lally, Okita, Rubin",q2
6,10-8,D-Line,06:35,1m8s,"Corbett, El-Salaam, Lozinski, Queckboerner , Silverman, Tran, Turner",q2
7,10-9,D-Line,05:06,1m29s,"Hume, Leggio, Milardovich, Radlauer, Rubin, Schakner, Sung",q2
8,11-9,O-Line,04:21,45s,"Corbett, Dunn, Givol, Helton, J Cohen, Lally, Okita",q2
9,11-10,D-Line,03:45,36s,"El-Salaam, Queckboerner , Schakner, Silverman, Sung, Tran, Turner",q2
10,12-10,O-Line,03:17,28s,"Dunn, Givol, Helton, J Cohen, Lally, Okita, Rubin",q2
11,12-11,D-Line,02:00,1m17s,"Corbett, El-Salaam, Hume, Leggio, Lozinski, Milardovich, Sung",q2
12,13-11,O-Line,01:46,14s,"Dunn, Givol, Helton, J Cohen, Lally, Okita, Rubin",q2
13,13-12,D-Line,00:37,1m9s,"El-Salaam, Milardovich, Queckboerner , Radlauer, Silverman, Tran, Turner",q2
14,13-12,O-Line,00:00,37s,"Corbett, Dunn, Givol, Helton, J Cohen, Okita, Rubin",q2
0,14-12,O-Line,10:52,1m8s,"Corbett, Dunn, Givol, Helton, Lally, Okita, Rubin",q3
1,15-12,D-Line,09:27,1m25s,"El-Salaam, Leggio, Milardovich, Queckboerner , Silverman, Tran, Turner",q3
2,15-13,D-Line,08:53,34s,"Hume, Leggio, Lozinski, Milardovich, Radlauer, Schakner, Sung",q3
3,16-13,O-Line,07:15,1m38s,"Corbett, Dunn, Givol, Helton, J Cohen, Lally, Okita",q3
4,16-14,D-Line,05:53,1m22s,"El-Salaam, Hume, Lozinski, Queckboerner , Sung, Tran, Turner",q3
5,17-14,O-Line,03:55,1m58s,"Dunn, El-Salaam, Givol, Helton, Lally, Okita, Rubin",q3
6,18-14,D-Line,01:24,2m31s,"Hume, Leggio, Lozinski, Milardovich, Radlauer, Schakner, Turner",q3
7,18-14,D-Line,00:00,1m24s,"Corbett, El-Salaam, Milardovich, Queckboerner , Silverman, Sung, Tran",q3
0,18-15,D-Line,11:05,55s,"Dunn, El-Salaam, Leggio, Queckboerner , Sung, Tran, Turner",q4
1,19-15,O-Line,09:58,1m7s,"Corbett, Dunn, Givol, Helton, J Cohen, Okita, Rubin",q4
2,19-16,D-Line,07:09,2m49s,"El-Salaam, Hume, Lozinski, Milardovich, Queckboerner , Schakner, Turner",q4
3,20-16,O-Line,06:28,41s,"Corbett, Dunn, Givol, Helton, J Cohen, Lally, Okita",q4
4,20-17,D-Line,05:46,42s,"El-Salaam, Leggio, Rubin, Silverman, Sung, Tran, Turner",q4
5,20-18,O-Line,04:41,1m5s,"Corbett, Dunn, Givol, Helton, J Cohen, Lally, Okita",q4
6,21-18,O-Line,03:39,1m2s,"Dunn, El-Salaam, Givol, Helton, Leggio, Rubin, Tran",q4
7,21-19,D-Line,03:05,34s,"Hume, Leggio, Lozinski, Milardovich, Queckboerner , Radlauer, Turner",q4
8,21-20,O-Line,01:43,1m22s,"Corbett, Dunn, Givol, Helton, J Cohen, Lally, Okita",q4
9,21-20,O-Line,00:00,1m43s,"Dunn, El-Salaam, Givol, Helton, Leggio, Milardovich, Rubin",q4
0,1-0,O-Line,11:06,54s,"Corbett, Dunn, Givol, Helton, J Cohen, Lally, Okita",q1
1,1-1,D-Line,10:05,1m1s,"El-Salaam, Hume, Leggio, Milardovich, Radlauer, Tran, Turner",q1
2,1-2,O-Line,07:23,2m42s,"Corbett, Dunn, Givol, Helton, J Cohen, Lally, Okita",q1
3,2-2,O-Line,06:29,54s,"El-Salaam, Leggio, Milardovich, Queckboerner , Rubin, Tran, Turner",q1
4,3-2,D-Line,05:11,1m18s,"Corbett, Hume, Lozinski, Queckboerner , Schakner, Silverman, Sung",q1
5,3-3,D-Line,04:06,1m5s,"El-Salaam, Leggio, Milardovich, Radlauer, Rubin, Tran, Turner",q1
6,4-3,O-Line,03:02,1m4s,"Corbett, Dunn, Givol, Helton, J Cohen, Lally, Okita",q1
7,4-4,D-Line,01:33,1m29s,"El-Salaam, Hume, Queckboerner , Schakner, Silverman, Sung, Turner",q1
8,5-4,O-Line,00:54,39s,"Dunn, Givol, Helton, J Cohen, Lally, Okita, Rubin",q1
9,5-5,D-Line,00:14,40s,"El-Salaam, Leggio, Milardovich, Queckboerner , Radlauer, Tran, Turner",q1
10,6-5,O-Line,00:00,14s,"Corbett, Dunn, Givol, Helton, J Cohen, Okita, Rubin",q1
0,6-6,D-Line,10:46,1m14s,"El-Salaam, Hume, Milardovich, Schakner, Silverman, Sung, Turner",q2
1,7-6,O-Line,10:26,20s,"Corbett, Dunn, Givol, Helton, J Cohen, Okita, Rubin",q2
2,7-7,D-Line,09:12,1m14s,"El-Salaam, Leggio, Lozinski, Queckboerner , Radlauer, Tran, Turner",q2
3,8-7,O-Line,08:50,22s,"Dunn, Givol, Helton, J Cohen, Lally, Okita, Rubin",q2
4,8-8,D-Line,08:21,29s,"El-Salaam, Hume, Leggio, Milardovich, Queckboerner , Schakner, Sung",q2
5,9-8,O-Line,07:43,38s,"Dunn, Givol, Helton, J Cohen, Lally, Okita, Rubin",q2
6,10-8,D-Line,06:35,1m8s,"Corbett, El-Salaam, Lozinski, Queckboerner , Silverman, Tran, Turner",q2
7,10-9,D-Line,05:06,1m29s,"Hume, Leggio, Milardovich, Radlauer, Rubin, Schakner, Sung",q2
8,11-9,O-Line,04:21,45s,"Corbett, Dunn, Givol, Helton, J Cohen, Lally, Okita",q2
9,11-10,D-Line,03:45,36s,"El-Salaam, Queckboerner , Schakner, Silverman, Sung, Tran, Turner",q2
10,12-10,O-Line,03:17,28s,"Dunn, Givol, Helton, J Cohen, Lally, Okita, Rubin",q2
11,12-11,D-Line,02:00,1m17s,"Corbett, El-Salaam, Hume, Leggio, Lozinski, Milardovich, Sung",q2
12,13-11,O-Line,01:46,14s,"Dunn, Givol, Helton, J Cohen, Lally, Okita, Rubin",q2
13,13-12,D-Line,00:37,1m9s,"El-Salaam, Milardovich, Queckboerner , Radlauer, Silverman, Tran, Turner",q2
14,13-12,O-Line,00:00,37s,"Corbett, Dunn, Givol, Helton, J Cohen, Okita, Rubin",q2
0,14-12,O-Line,10:52,1m8s,"Corbett, Dunn, Givol, Helton, Lally, Okita, Rubin",q3
1,15-12,D-Line,09:27,1m25s,"El-Salaam, Leggio, Milardovich, Queckboerner , Silverman, Tran, Turner",q3
2,15-13,D-Line,08:53,34s,"Hume, Leggio, Lozinski, Milardovich, Radlauer, Schakner, Sung",q3
3,16-13,O-Line,07:15,1m38s,"Corbett, Dunn, Givol, Helton, J Cohen, Lally, Okita",q3
4,16-14,D-Line,05:53,1m22s,"El-Salaam, Hume, Lozinski, Queckboerner , Sung, Tran, Turner",q3
5,17-14,O-Line,03:55,1m58s,"Dunn, El-Salaam, Givol, Helton, Lally, Okita, Rubin",q3
6,18-14,D-Line,01:24,2m31s,"Hume, Leggio, Lozinski, Milardovich, Radlauer, Schakner, Turner",q3
7,18-14,D-Line,00:00,1m24s,"Corbett, El-Salaam, Milardovich, Queckboerner , Silverman, Sung, Tran",q3
0,18-15,D-Line,11:05,55s,"Dunn, El-Salaam, Leggio, Queckboerner , Sung, Tran, Turner",q4
1,19-15,O-Line,09:58,1m7s,"Corbett, Dunn, Givol, Helton, J Cohen, Okita, Rubin",q4
2,19-16,D-Line,07:09,2m49s,"El-Salaam, Hume, Lozinski, Milardovich, Queckboerner , Schakner, Turner",q4
3,20-16,O-Line,06:28,41s,"Corbett, Dunn, Givol, Helton, J Cohen, Lally, Okita",q4
4,20-17,D-Line,05:46,42s,"El-Salaam, Leggio, Rubin, Silverman, Sung, Tran, Turner",q4
5,20-18,O-Line,04:41,1m5s,"Corbett, Dunn, Givol, Helton, J Cohen, Lally, Okita",q4
6,21-18,O-Line,03:39,1m2s,"Dunn, El-Salaam, Givol, Helton, Leggio, Rubin, Tran",q4
7,21-19,D-Line,03:05,34s,"Hume, Leggio, Lozinski, Milardovich, Queckboerner , Radlauer, Turner",q4
8,21-20,O-Line,01:43,1m22s,"Corbett, Dunn, Givol, Helton, J Cohen, Lally, Okita",q4
9,21-20,O-Line,00:00,1m43s,"Dunn, El-Salaam, Givol, Helton, Leggio, Milardovich, Rubin",q4
0,0-1,D-Line,09:38,2m22s,"DeClerck, Hidaka, Kittlesen, Matzuka, McCutcheon, Taylor, Vohnoutka",q1
1,1-1,O-Line,08:27,1m11s,"Brandt, Jurek, Klane, Linehan, Roy, Vogt, Weinberg",q1
2,1-2,D-Line,07:34,53s,"Bergmeier, Berry, DeClerck, K Johnson, Leonard, Matis, Matzuka",q1
3,2-2,O-Line,07:13,21s,"Brandt, Jordan, Jurek, Klane, Linehan, Roy, Weinberg",q1
4,2-3,D-Line,06:57,16s,"DeClerck, Hidaka, Kittlesen, Matzuka, McCutcheon, Taylor, Vohnoutka",q1
5,3-3,O-Line,06:11,46s,"Brandt, Jordan, Klane, Linehan, Roy, Vogt, Weinberg",q1
6,4-3,D-Line,03:37,2m34s,"Bergmeier, Berry, Jurek, K Johnson, Leonard, Matis, Matzuka",q1
7,4-4,D-Line,00:01,3m36s,"DeClerck, Kittlesen, Matzuka, McCutcheon, Taylor, Vohnoutka, Weinberg",q1
8,4-4,O-Line,00:00,,"Jurek, Kittlesen, Klane, Leonard, Linehan, Roy, Vogt",q1
0,5-4,O-Line,11:16,44s,"Brandt, Jordan, Jurek, Klane, Roy, Vogt, Weinberg",q2
1,5-5,D-Line,10:35,41s,"Bergmeier, Berry, K Johnson, Leonard, Matis, Matzuka, Vohnoutka",q2
2,6-5,O-Line,09:33,1m2s,"Brandt, Jurek, Klane, Linehan, Roy, Vogt, Weinberg",q2
3,6-6,D-Line,07:14,2m19s,"Berry, DeClerck, Leonard, Matis, Matzuka, Taylor, Vohnoutka",q2
4,7-6,O-Line,06:12,1m2s,"Brandt, Jordan, Jurek, Klane, Linehan, Roy, Weinberg",q2
5,7-7,D-Line,05:39,33s,"Bergmeier, DeClerck, Hidaka, K Johnson, Kittlesen, McCutcheon, Vohnoutka",q2
6,8-7,O-Line,04:53,46s,"Brandt, Jordan, Klane, Linehan, Roy, Vogt, Weinberg",q2
7,8-8,D-Line,02:55,1m58s,"DeClerck, Jurek, Matis, Matzuka, McCutcheon, Taylor, Vohnoutka",q2
8,9-8,O-Line,02:06,49s,"Brandt, Jordan, Klane, Linehan, Roy, Vogt, Weinberg",q2
9,9-8,D-Line,00:00,2m6s,"Bergmeier, Berry, K Johnson, Leonard, Matis, Matzuka, McCutcheon",q2
0,9-9,D-Line,09:59,2m1s,"DeClerck, Hidaka, Kittlesen, Matzuka, McCutcheon, Taylor, Vohnoutka",q3
1,10-9,O-Line,09:36,23s,"Brandt, Jordan, Jurek, Klane, Roy, Vogt, Weinberg",q3
2,11-9,D-Line,08:18,1m18s,"Bergmeier, Berry, K Johnson, Leonard, Matis, Matzuka, Vohnoutka",q3
3,12-9,D-Line,06:20,1m58s,"Bergmeier, Berry, DeClerck, Matzuka, McCutcheon, Taylor, Vogt",q3
4,12-10,D-Line,05:59,21s,"Hidaka, K Johnson, Kittlesen, Leonard, Linehan, Matis, Vohnoutka",q3
5,13-10,O-Line,04:58,1m1s,"Brandt, Jordan, Jurek, Klane, Linehan, Roy, Weinberg",q3
6,13-11,D-Line,04:28,30s,"Bergmeier, Berry, Hidaka, K Johnson, Kittlesen, Leonard, Matis",q3
7,14-11,O-Line,03:35,53s,"Brandt, Jurek, Klane, Linehan, Roy, Vogt, Weinberg",q3
8,15-11,D-Line,02:23,1m12s,"Berry, DeClerck, Leonard, Matis, Matzuka, Taylor, Vohnoutka",q3
9,15-12,D-Line,01:12,1m11s,"DeClerck, Hidaka, K Johnson, Kittlesen, McCutcheon, Taylor, Vohnoutka",q3
10,16-12,O-Line,00:13,59s,"Brandt, Jordan, Jurek, Klane, Roy, Vogt, Weinberg",q3
11,16-12,D-Line,00:00,13s,"Bergmeier, Berry, DeClerck, K Johnson, Kittlesen, McCutcheon, Vohnoutka",q3
0,16-13,O-Line,06:51,5m9s,"Brandt, Jurek, Klane, Linehan, Roy, Vogt, Weinberg",q4
1,16-14,O-Line,03:25,3m26s,"Brandt, Jordan, Jurek, Klane, Linehan, Roy, Weinberg",q4
2,17-14,O-Line,01:42,1m43s,"Brandt, Jordan, Klane, Linehan, Roy, Vogt, Weinberg",q4
3,17-15,D-Line,00:51,51s,"Bergmeier, Berry, Hidaka, Jurek, K Johnson, Leonard, Matis",q4
4,17-16,O-Line,00:21,30s,"Brandt, Jordan, Klane, Linehan, Roy, Vogt, Weinberg",q4
5,17-16,O-Line,00:00,21s,"Bergmeier, Brandt, Hidaka, Jurek, Leonard, Taylor, Vohnoutka",q4
0,0-1,D-Line,09:38,2m22s,"DeClerck, Hidaka, Kittlesen, Matzuka, McCutcheon, Taylor, Vohnoutka",q1
1,1-1,O-Line,08:27,1m11s,"Brandt, Jurek, Klane, Linehan, Roy, Vogt, Weinberg",q1
2,1-2,D-Line,07:34,53s,"Bergmeier, Berry, DeClerck, K Johnson, Leonard, Matis, Matzuka",q1
