YEAR - TEAM,GAMES,POINTS_PLAYED,MINUTES,ASSISTSS,GOALS,BLOCKS,P/M,COMPLETIONS,COMPLETION_PERCENT,THROWING_YARDS,RECEIVING_YARDS,HOCKEY_ASSISTS,TURNS,STALLS,DROPS,CALLAHANS,HUCKS,HUCK_PERCENT,OFFESNIVE_PP,DEFENSIVE_PP,PULLS,PULL_PERCENT,PULL_HANGTIME,NAME,SEASON
2021 - AUS,7,118,126,10,5,0,7,153,91.62,1032,537,12,7,0,1,0,2,50,115,3,0,--,--,Joe Sefton,regular season
2016 - SEA,4,68,72,6,3,4,10,45,91.84,--,--,5,3,0,0,0,--,--,13,55,2,100,4.5,Joe Sefton,regular season
2015 - SEA,10,213,190,17,24,5,31,153,91.07,--,--,12,11,1,4,0,--,--,164,49,0,--,--,Joe Sefton,regular season
Career,21,399,390,33,32,9,48,351,91.41,1032,537,29,21,1,5,0,2,50,292,107,2,100,4.5,Joe Sefton,regular season
2015 - SEA,2,50,57,1,3,0,0,40,93.02,--,--,2,2,0,2,0,--,--,23,27,0,--,--,Joe Sefton,post-season
2018 - MIN,5,57,41,1,0,3,-3,17,70.83,--,--,1,6,0,1,0,--,--,4,53,0,--,--,Joe Simonelli,regular season
2013 - MIN,7,94,0,1,2,3,2,69,95.83,--,--,0,3,0,1,0,--,--,29,65,0,--,--,Joe Simonelli,regular season
Career,12,151,41,2,2,6,-1,86,89.58,--,--,1,9,0,2,0,--,--,33,118,0,--,--,Joe Simonelli,regular season
2014 - DET,4,44,46,0,1,4,-2,59,89.39,--,--,2,4,0,3,0,--,--,42,2,0,--,--,Joe Sullivan,regular season
2012 - CLB,11,63,0,16,7,11,12,136,87.74,--,--,0,19,0,3,0,--,--,24,39,0,--,--,Joe Taris,regular season
2021 - SJ,1,7,6,0,1,0,1,2,100,19,29,0,0,0,0,0,0,0,3,4,0,--,--,Joe Thompson,regular season
2019 - SJ,6,62,53,2,4,1,5,16,88.89,--,--,2,2,0,0,0,--,--,24,38,0,--,--,Joe Thompson,regular season
