pull_type,time,pull_x,pull_y,thrower_id
PULL_INBOUNDS,6256.0,5.31,93.13,iwallace
PULL_INBOUNDS,6712.0,13.84,105.65,mmackenzi
PULL_INBOUNDS,2510.0,-24.92,59.99,jhau
PULL_INBOUNDS,4883.0,-11.81,103.76,iwallace
PULL_INBOUNDS,5572.0,-11.23,104.49,pturner
PULL_INBOUNDS,6795.0,3.93,105.29,iwallace
PULL_INBOUNDS,6358.0,13.69,104.05,jhau
PULL_INBOUNDS,7536.0,-13.56,103.25,cturner
PULL_OUT_OF_BOUNDS,,0.0,80.0,pturner
PULL_INBOUNDS,5846.0,-0.59,105.0,pturner
PULL_INBOUNDS,0.0,-5.32,106.82,
PULL_INBOUNDS,4917.0,0.94,102.74,iwallace
PULL_INBOUNDS,7287.0,17.48,99.99,cturner
PULL_INBOUNDS,1598.0,-24.34,71.79,jhau
